mode,speckle_key,label,drift_l1,transfer_acc,transfer_acc_std,macro_f1
pixel,pixel,Pixel,0.011742412705280009,32.9,0.29439202887759586,33.833333333333336
single_s1,S1,S1,0.0003000491672992212,35.199999999999996,0.14142135623730817,36.23333333333333
single_s2,S2,S2,0.00044683115779662317,29.099999999999998,0.14142135623730984,30.099999999999998
single_s3,S3,S3,0.00029870716280129274,33.63333333333333,0.2054804667656324,34.93333333333333
single_s4,S4,S4,0.00019487706852032717,37.2,0.35590260840104543,38.53333333333333
single_s5,S5,S5,0.00015145701863730207,38.4,0.2828427124746163,39.733333333333334
single_s6,S6,S6,0.0001267369597968582,38.333333333333336,0.12472191289246395,39.63333333333333
multi,multi,Fused,0.00012037649849787613,39.166666666666664,0.20548046676563278,40.36666666666667
