path,pixel,S1,S2,S3,S4,S5,S6,multi
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10000_16034_179_26_vh.jpg,0.01240416755899787,0.00034730760380625726,0.0005103062430862337,0.0003535642114002258,0.000239276367938146,0.00017785306554287672,0.00013846246874891222,0.0001324498443864286
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10000_16034_179_26_vv.jpg,0.014546181634068489,0.0004103379789739847,0.000613789539784193,0.00043274319905322044,0.00029191116045694797,0.00021778929512947798,0.00017713019769871607,0.00016956051695160568
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10004_2630_133_19_vh.jpg,0.01968370657414198,0.0005821785540319979,0.000815202941885218,0.000511436999659054,0.00028991543222218753,0.00020783090149052442,0.00016792823589639738,0.00015970619569998233
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10004_2630_133_19_vv.jpg,0.016671258956193924,0.0005005234444979579,0.0007138149521779269,0.00045436394575517627,0.00026258175348630174,0.0001944773190189153,0.00016244018770521506,0.00015496379928663372
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10006_11771_159_23_vh.jpg,0.0184208944439888,0.0004974554583895951,0.0007248709152918309,0.000504218420246616,0.0003208199923392385,0.00024438695836579425,0.00020432942837942392,0.00019494256848702208
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10006_11771_159_23_vv.jpg,0.015097802504897118,0.0003886965161655098,0.0005733358382713049,0.0003955487278290093,0.0002779066941002384,0.0002234352199593559,0.0001890522093162872,0.00018061191658489407
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10011_15735_85_15_vh.jpg,0.04622815027832985,0.0010878138826228678,0.001577332115266472,0.0010692397365346551,0.000681903341319412,0.000543367036152631,0.0004680106183513999,0.0004460322408704087
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10011_15735_85_15_vv.jpg,0.05717879869043827,0.0012793951784260571,0.0019014582387171686,0.001277135359123349,0.0007583864033222198,0.0005454428639495746,0.0004274099163012579,0.00041001874196808783
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10015_4503_145_23_vh.jpg,0.007273914525285363,0.00021830810292158275,0.00031320463167503474,0.00020418962958501652,0.0001253536407602951,9.730142410262488e-05,8.167141022568103e-05,7.83206065534614e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10015_4503_145_23_vv.jpg,0.007115860236808658,0.00021748014696640894,0.0003162767825415358,0.0002083256171317771,0.0001299565512454137,9.611389541532844e-05,7.922453733044676e-05,7.543210158473812e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10016_5349_99_16_vh.jpg,0.02880115546286106,0.0007471636577975005,0.0010241182579193264,0.0006716093164868652,0.00039628528465982524,0.00027570839592954143,0.00022582173551199958,0.00021562526089837774
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10016_5349_99_16_vv.jpg,0.03726533427834511,0.0009614749054890126,0.0013721670606173576,0.0009037757641635835,0.0005920997180510312,0.0004366464854683727,0.0003684820781927556,0.000353376948623918
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10017_14288_189_32_vh.jpg,0.019479666836559772,0.0005265238811261952,0.0007390456448774785,0.0004850397235713899,0.00027928992931265385,0.00020098582317586988,0.00015839651168789715,0.00015085147751960903
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10017_14288_189_32_vv.jpg,0.010396154597401619,0.00029762464691884816,0.0004352698364527896,0.0003043378790607676,0.0002011838005273603,0.00015800519613549114,0.00013311052534845658,0.0001280265387322288
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10022_13963_190_32_vh.jpg,0.016017716005444528,0.0004201542382361367,0.0006653186457697303,0.0004779742128448561,0.0003445899026701227,0.00029770343826385215,0.00026821232022484766,0.00025615734193706885
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10022_13963_190_32_vv.jpg,0.011624376568943263,0.0002916580153396353,0.0004504078155150637,0.00032384615624323485,0.0002428209234494716,0.00020021081145387142,0.00016994617617456244,0.00016185847925953567
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10024_12140_172_24_vh.jpg,0.04419351778924465,0.001081147079821676,0.0015903427731245757,0.0010596984706353397,0.0006754050147719682,0.0005025673977797851,0.00040524287906009706,0.00039158814761321994
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10024_12140_172_24_vv.jpg,0.012943274714052678,0.0003514314099447802,0.0005442032008431852,0.0003704327857121825,0.00023909202136565,0.00019023156637558712,0.0001569567190017551,0.00015029255591798575
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10026_13773_190_32_vh.jpg,0.010340428724884988,0.0002862808032659814,0.0004257483466062695,0.00030069575150264426,0.00020945792202837766,0.00016303931770380586,0.00013707707985304295,0.0001303497003391385
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10026_13773_190_32_vv.jpg,0.003614332666620612,0.00010408017260488123,0.00015817769744899123,0.0001121192763093859,7.67967343563214e-05,5.798944621346891e-05,4.514260217547417e-05,4.2971433140337466e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10027_4317_99_16_vh.jpg,0.024157049879431725,0.0006335655285511166,0.0009436816559173167,0.0006198264542035759,0.00039921166899148375,0.00030854242213536055,0.00023770794359734282,0.0002281651002704166
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10027_4317_99_16_vv.jpg,0.023371561802923678,0.0006045941263437271,0.0008758276293519884,0.0006019106425810605,0.0004131124005652964,0.00032972740154946223,0.00029029588185949253,0.00027819922106573356
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10030_14003_100_16_vh.jpg,0.026370797492563724,0.0007071647269185632,0.0010234906862024219,0.0006972982897423208,0.0004329590272391215,0.0003267454536398873,0.0002591430980828591,0.00024850546760717406
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10030_14003_100_16_vv.jpg,0.009501016605645419,0.00025714467046782373,0.000369718243018724,0.0002506591845303774,0.00015517144347541035,0.00011481348774395883,9.087725193239749e-05,8.740369230508804e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10035_14702_199_32_vh.jpg,0.01563902422785759,0.0004280423134332523,0.0006070450588595122,0.00040283254347741606,0.0002729588464717381,0.0002149860025383532,0.00018549041415099053,0.00017739332397468389
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10035_14702_199_32_vv.jpg,0.007083980133756995,0.00020779625629074872,0.00032710224913898853,0.00024088609789032489,0.00018291533779120074,0.00015416945971082895,0.00013720345741603525,0.0001314944151090458
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_13990_85_15_vh.jpg,0.038095390796661376,0.0009428190358448773,0.0013335220399312675,0.0008715179050341248,0.0005379830778110773,0.0004195882909698412,0.0003162751323543489,0.00030720810464117675
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_13990_85_15_vv.jpg,0.04222352914512158,0.0009661275194957853,0.0014644921873696148,0.001000963698606938,0.0006113244045991451,0.0004653275478631258,0.00039046839519869537,0.00037461973552126436
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_1720_149_21_vh.jpg,0.015058765187859535,0.0004145384242292494,0.0006161272467579693,0.00044151542824693023,0.0002970734698465094,0.0002382130885962397,0.0002042218955466524,0.0001959589440957643
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_1720_149_21_vv.jpg,0.020721094869077205,0.0005466354079544545,0.0007875041686929762,0.0005569349974393845,0.00039087937329895794,0.00032902814564295113,0.00029259880247991534,0.00027903830632567404
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_3034_276_40_vh.jpg,0.014194461517035961,0.0003912270040018484,0.0005290534812957048,0.00034012810792773964,0.0002083876563119702,0.00015438575210282579,0.00012398244289215654,0.00011841092782560736
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_3034_276_40_vv.jpg,0.00840319311246276,0.00022688978060614318,0.0003329990664497018,0.00022390730446204544,0.00014791032444918528,0.00012412869109539314,0.00011205367700313218,0.00010700893544708378
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_6050_397_56_vh.jpg,0.008021135535091161,0.00023642588494112715,0.0003283340367488563,0.00021076968841953202,0.00012667154878727161,9.334544738521799e-05,7.495897225453518e-05,7.146953430492431e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_6050_397_56_vv.jpg,0.0037063935538753866,0.00011240332896704786,0.00016095321043394507,0.00010741563091869466,6.629751296713949e-05,5.000852324883453e-05,4.07006260502385e-05,3.8997040610411206e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10040_6465_170_27_vh.jpg,0.011656689178198575,0.00033217556192539633,0.000455620200955309,0.0003037540096556768,0.00019375751726329326,0.00015100409218575804,0.00012886483455076814,0.00012347812225925735
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10040_6465_170_27_vv.jpg,0.006353507190942765,0.00017861789383459835,0.0002633806667290628,0.00018436192185617984,0.0001307775004534051,0.00010829920211108401,9.582550665072631e-05,9.202545552398079e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10042_15762_92_15_vh.jpg,0.048381071910262106,0.001200757222250104,0.001681621593888849,0.001094158284831792,0.0006474058202002198,0.0004887691815383732,0.0003774407523451373,0.0003597945731598884
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10042_15762_92_15_vv.jpg,0.05622262582182884,0.0013554791687056423,0.0018794351490214467,0.0012413961347192525,0.0007527835667133331,0.0005390308186179027,0.0004519114852882922,0.0004289776785299182
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10044_13958_189_32_vh.jpg,0.015316898003220558,0.00042240101320203396,0.0006215214205440133,0.00040826754120644183,0.0002609624294564128,0.00019457784947007895,0.00015852194337639958,0.00015134720597416164
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10044_13958_189_32_vv.jpg,0.010697635170072318,0.00030700013157911597,0.00044474285386968403,0.00028903067868668586,0.00019017919548787178,0.00015529605152551085,0.0001353940926492214,0.00013006399385631084
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10049_6455_88_14_hh.jpg,0.011376370210200548,0.00029783039935864507,0.00044868080876767633,0.00031593967287335545,0.0002106118859956041,0.00016471317503601312,0.00014162133156787605,0.00013596932694781572
