speckle_L,pixel,S1,S2,S3,S4,S5,S6,multi
8.0,0.026584300230751978,0.0006876079738958652,0.0009587213710346988,0.0006479205829464261,0.0004144482137121486,0.00031585196552441625,0.00026145624559035244,0.00025027817930549644
6.0,0.03055607300339034,0.0007929222854045294,0.0010870062167668945,0.0007380342142141672,0.00047805742478885816,0.0003674985703696621,0.00030312797372857855,0.0002900260112198793
4.0,0.03678523760463577,0.0009660949657472882,0.0012956241826486802,0.0008870552959024279,0.0005787560024032246,0.00044964081856733177,0.00037440844768070746,0.0003584560562501338
3.0,0.04174029902715118,0.0011056481926061679,0.0014426685608668773,0.0009901400319677124,0.0006447555691465823,0.0005005457467291308,0.0004172494362364888,0.00039926540703163474
2.0,0.04953299320623046,0.0013325694051218309,0.0016865677942860201,0.0011602533458699327,0.0007603350985391444,0.0005862287825038947,0.00048524939734306816,0.00046444912010201733
