path,pixel,S1,S2,S3,S4,S5,S6,multi
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10000_16034_179_26_vh.jpg,0.01277931835502386,0.00035721042659133675,0.000524466676870361,0.00036281757638789713,0.00024542967294109984,0.00018231870635645464,0.00014200806035660207,0.0001348247315036133
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10000_16034_179_26_vv.jpg,0.014976199250668287,0.0004216974921291694,0.000630151788936928,0.00044370745599735527,0.00029907205025665463,0.0002233102437458001,0.00018177258461946622,0.00017270095995627343
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10004_2630_133_19_vh.jpg,0.020295524410903452,0.000599165668245405,0.0008393072406761348,0.0005266877502435819,0.0002986881823744625,0.00021405998413683846,0.0001728141141938977,0.00016425872745458038
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10004_2630_133_19_vv.jpg,0.017190542072057724,0.000515279168030247,0.0007349253690335899,0.0004675017233239487,0.0002696154668228701,0.0001995587910641916,0.00016668376920279116,0.0001589956198586151
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10006_11771_159_23_vh.jpg,0.018976066447794437,0.0005110963364131748,0.000743420934304595,0.0005163530528079719,0.0003281244571553543,0.00024956938286777584,0.00020803781371796503,0.00019771353545365854
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10006_11771_159_23_vv.jpg,0.015522928722202779,0.00039849819149821996,0.0005860506964381785,0.00040321642882190645,0.0002819085624651052,0.00022600831580348312,0.00019091393041890115,0.00018046846525976434
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10011_15735_85_15_vh.jpg,0.04742412976920605,0.0011115547502413392,0.001611454365774989,0.001091003615874797,0.0006934055127203465,0.00055119912722148,0.0004736866714665666,0.00044667611073236915
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10011_15735_85_15_vv.jpg,0.05847295597195625,0.0013034873991273344,0.001936550228856504,0.0013006182853132486,0.0007746006944216788,0.0005570752458879724,0.000434296258026734,0.0004139009251957759
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10015_4503_145_23_vh.jpg,0.007498233811929822,0.0002249707977171056,0.0003222396655473858,0.00020980327535653488,0.00012860559509135782,9.969475795514881e-05,8.358622144442052e-05,7.975428816280328e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10015_4503_145_23_vv.jpg,0.007332595530897379,0.00022381992457667365,0.0003253642847994342,0.0002142448051017709,0.00013352759124245494,9.864239109447226e-05,8.127846886054612e-05,7.70067643315997e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10016_5349_99_16_vh.jpg,0.029664081707596778,0.0007673502259422094,0.0010505161830224098,0.0006890315562486649,0.00040570745477452874,0.0002807543394737877,0.0002287965064169839,0.00021917360863881185
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10016_5349_99_16_vv.jpg,0.03839084543287754,0.000986499956343323,0.0014063215698115528,0.0009238753176759928,0.0006028858595527708,0.000443511686171405,0.0003742850967682898,0.0003560463315807283
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10017_14288_189_32_vh.jpg,0.020063399523496627,0.0005404638883192092,0.0007595174945890903,0.0004980775323929265,0.0002869445481337607,0.00020684713672380894,0.00016323243762599303,0.00015517359424848108
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10017_14288_189_32_vv.jpg,0.010707736574113369,0.0003060828079469502,0.0004461221513338387,0.00031140624778345225,0.00020516384101938457,0.00016060513735283166,0.0001350864695268683,0.000128914514061762
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10022_13963_190_32_vh.jpg,0.016483884304761887,0.0004308265168219805,0.0006803313561249524,0.0004878704930888489,0.00035114026977680626,0.00030366851860890164,0.0002738144452450797,0.00025862782931653785
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10022_13963_190_32_vv.jpg,0.011914581712335347,0.00029812818684149534,0.00045890742912888525,0.0003298785712104291,0.0002470706473104656,0.00020315004949225112,0.00017226806376129388,0.0001623143325559795
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10024_12140_172_24_vh.jpg,0.04552169293165207,0.0011080144322477281,0.0016304136835969985,0.0010852892068214715,0.0006903226603753865,0.0005137220054166391,0.0004145642480580136,0.0003975381434429437
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10024_12140_172_24_vv.jpg,0.013331008609384298,0.00036083686572965237,0.0005565254075918346,0.00037769779446534814,0.00024236134195234626,0.0001916917783091776,0.00015733873879071326,0.0001496050594141707
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10026_13773_190_32_vh.jpg,0.010660094767808914,0.0002944561070762575,0.00043734420905821024,0.00030903510632924737,0.00021527001372305675,0.00016753218951635063,0.00014071506448090076,0.0001326706289546564
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10026_13773_190_32_vv.jpg,0.003715114085935056,0.00010680433479137719,0.00016086967661976814,0.00011343348887749016,7.715852407272906e-05,5.7996137184090915e-05,4.49961400590837e-05,4.260952118784189e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10027_4317_99_16_vh.jpg,0.024879946000874044,0.0006504557677544653,0.0009681281342636793,0.0006355529127176851,0.0004094874660950154,0.00031616418564226476,0.00024356879439437761,0.0002315877500222996
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10027_4317_99_16_vv.jpg,0.024045812897384167,0.000620540720410645,0.0008999193785712122,0.0006168117979541421,0.0004215584078337997,0.0003353699852596037,0.0002948501365608536,0.0002803516515996307
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10030_14003_100_16_vh.jpg,0.027204796485602856,0.0007269363792147488,0.0010522121738176793,0.000716592778917402,0.00044489694701042024,0.0003357207722729072,0.00026626594190020113,0.00025359832361573356
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10030_14003_100_16_vv.jpg,0.009782461728900672,0.000264395383419469,0.0003802366409217939,0.00025814783439273017,0.00016022057097870858,0.00011870128219015896,9.401490387972444e-05,9.003076702356339e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10035_14702_199_32_vh.jpg,0.0161068981513381,0.00043988978723064065,0.0006219743227120489,0.0004112988826818764,0.00027777549403253945,0.00021846078016096726,0.00018813770439010113,0.0001784368825610727
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10035_14702_199_32_vv.jpg,0.007293350016698241,0.00021361653925850989,0.0003349949925905094,0.0002463801734847948,0.00018679584172787145,0.00015731736057205125,0.00013994430191814898,0.00013259184488561003
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_13990_85_15_vh.jpg,0.03929536864161491,0.0009671638079453259,0.0013696872163563966,0.0008951922238338739,0.0005524690612219274,0.00043046638020314274,0.00032413092558272185,0.0003124335591564886
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_13990_85_15_vv.jpg,0.0433404590934515,0.0009869645873550326,0.0014982401742599904,0.001024255802622065,0.000625192269217223,0.0004750148014863953,0.00039848711749073117,0.0003795447701122612
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_1720_149_21_vh.jpg,0.015497144684195519,0.0004255193751305342,0.0006310777156613767,0.000451101697399281,0.00030224075890146197,0.00024135910061886534,0.0002062551269773394,0.00019617622456280515
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10036_1720_149_21_vv.jpg,0.0213518800213933,0.0005614501889795065,0.0008073094009887427,0.0005693758081179112,0.0003979437897214666,0.0003341327595990151,0.00029651861696038394,0.0002795403139316477
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_3034_276_40_vh.jpg,0.014631042443215846,0.0004021295084385201,0.0005440909881144762,0.0003497111756587401,0.00021441107528517023,0.00015862101718084888,0.00012721727107418702,0.00012135536380810663
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_3034_276_40_vv.jpg,0.00865274341776967,0.0002328617178136483,0.0003415870247408748,0.0002293329016538337,0.0001512652263045311,0.0001269445478101261,0.00011462904367363081,0.00010891030906350352
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_6050_397_56_vh.jpg,0.008271254040300846,0.0002433243629639037,0.0003380037931492552,0.00021693955204682425,0.00013036111486144363,9.606906896806323e-05,7.712989608990028e-05,7.334247711696663e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1003_6050_397_56_vv.jpg,0.003819844825193286,0.00011566089742700569,0.00016527558327652513,0.0001102090631320607,6.791922423872165e-05,5.117020955367479e-05,4.161657052463852e-05,3.966482836403884e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10040_6465_170_27_vh.jpg,0.012012411095201968,0.0003418193606194109,0.00046775699593126774,0.00031154305033851413,0.0001980184912099503,0.00015383404243038968,0.00013111206790199502,0.00012465715190046467
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10040_6465_170_27_vv.jpg,0.0065389956347644326,0.0001836451920098625,0.00027016343083232643,0.00018865369784180075,0.00013324683823157102,0.000110008662159089,9.711177372082603e-05,9.260618571715895e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10042_15762_92_15_vh.jpg,0.04976861402392387,0.0012301111593842507,0.0017234356491826475,0.0011208325857296586,0.0006627654540352524,0.000500976707553491,0.0003871035616612062,0.0003665390744572505
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10042_15762_92_15_vv.jpg,0.0578852441161871,0.001388344366569072,0.0019248639233410358,0.0012710779905319215,0.0007707000186201185,0.0005510906397830695,0.0004624468710971996,0.00043681311071850357
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10044_13958_189_32_vh.jpg,0.015773659199476243,0.0004340601561125368,0.0006370334827806801,0.00041802654159255325,0.00026696961431298404,0.00019890754483640194,0.00016240303521044552,0.00015419229748658836
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10044_13958_189_32_vv.jpg,0.011020165216177703,0.0003157188359182328,0.00045588540961034597,0.0002956211363198236,0.0001931993174366653,0.00015717784990556538,0.00013662595301866531,0.00013038961333222687
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10049_6455_88_14_hh.jpg,0.011710647400468588,0.00030572535470128057,0.0004601182008627802,0.00032364833750762043,0.00021558660810114816,0.00016840355820022524,0.00014451454917434602,0.0001380828849505633
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10049_6455_88_14_hv.jpg,0.02336471378803253,0.0005897521914448589,0.0008512697357218712,0.0005567625514231623,0.0003682104987092316,0.0002698419848456979,0.00020865940023213626,0.00019582088862080127
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10057_8587_104_16_y8587.jpg,0.017724094353616236,0.0004761092510307208,0.0006924447370693088,0.0004755788017064333,0.00032142342533916237,0.00026622779842000455,0.00023348334507318215,0.00022201751999091358
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1005_2867_278_0_vh.jpg,0.011733675096184015,0.0003222355036996305,0.00044177316303830596,0.000285362804424949,0.00017369115812471136,0.00013012630952289329,0.00010519164861761965,0.00010068288538604975
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1005_2867_278_0_vv.jpg,0.010882107820361853,0.0002950711321318522,0.0004134393791900948,0.00026921825192403046,0.0001772393923602067,0.000134515742684016,0.00010920522399828769,0.00010271982682752423
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10064_15790_147_21_vh.jpg,0.0196232333779335,0.0005278975993860513,0.000782799650914967,0.0005444109963718801,0.0003626228921348229,0.00030426931189140303,0.00026640028081601483,0.0002540104411309585
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10064_15790_147_21_vv.jpg,0.02139544431120157,0.0005745516275055707,0.0008542964293155819,0.0005585463659372181,0.0003524344996549189,0.0002774644628516398,0.00023020450171316043,0.00021991262037772684
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10066_13968_190_32_vh.jpg,0.012156947888433934,0.0003394708619453013,0.0005001694051316008,0.00033315200416836885,0.00021843330177944152,0.00016452289710287005,0.00013321903825271874,0.00012680049694608898
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10066_13968_190_32_vv.jpg,0.004840298462659121,0.00013413924898486584,0.0002069545997073874,0.0001455835095839575,0.00010829850216396154,9.036948904395103e-05,7.836654840502888e-05,7.435359584633261e-05
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10067_6040_143_20_vh.jpg,0.017723885364830494,0.0004751208936795592,0.0006900035892613232,0.0004726959334220737,0.0003200405364623293,0.0002529996796511114,0.00021414973598439248,0.00020224895270075648
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10067_6040_143_20_vv.jpg,0.020110948383808135,0.0005476085760165005,0.0008017033513169735,0.0005305961560225115,0.00036374407354742286,0.00028371757798595354,0.00023428420536220074,0.0002227820339612663
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10068_11195_216_44_vh.jpg,0.013247637543827295,0.00035527764121070506,0.0004985273408237845,0.00033242632925976066,0.0002112064481480047,0.00016148162249010056,0.00013375023554544895,0.000127217810950242
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10068_11195_216_44_vv.jpg,0.010415054764598608,0.0002751347201410681,0.00042375145421829074,0.00030073564557824283,0.00021560485911322757,0.00018007463368121534,0.00015869303606450558,0.00015040228608995677
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10069_13830_110_17_vh.jpg,0.02358806673437357,0.0006125921849161386,0.0009071450622286648,0.000610313651850447,0.0004053925222251564,0.0003247885208111256,0.00026711256796261294,0.0002555278901127167
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10069_13830_110_17_vv.jpg,0.01912196148186922,0.0004474509129067883,0.0006667692970950157,0.00044890352291986345,0.00031832257518544794,0.0002527707503759302,0.0002058802332612686,0.00019539882778190075
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10069_14804_190_32_vh.jpg,0.018459264747798444,0.0004957132623530924,0.0007160550449043512,0.0004982852435205132,0.0003200987266609445,0.00025382917519891637,0.00022550508001586422,0.00021352250478230418
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10069_14804_190_32_vv.jpg,0.009432907775044441,0.00025807471829466524,0.00038960247475188224,0.0002750437939539552,0.0001893452397780493,0.00015593676944263278,0.00013459193287417292,0.00012792432098649443
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1006_13027_292_45_vh.jpg,0.012438008841127158,0.00034544410882517693,0.000474146383930929,0.00031012582476250825,0.0001932831495651044,0.00014857606729492545,0.00012557474692584947,0.00011908506785403006
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\1006_13027_292_45_vv.jpg,0.00994774829596281,0.0002846761228283867,0.00040223442774731664,0.000272038031835109,0.00017615824181120842,0.0001384454131766688,0.00011730413098121062,0.00011162498340127059
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10070_14225_160_24_vh.jpg,0.022250109538435935,0.0005869282758794725,0.0008674169832374901,0.0005918037437368185,0.00036524902388919146,0.0002853143916581757,0.000245728439767845,0.00023351324489340186
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10070_14225_160_24_vv.jpg,0.014364170655608178,0.00038828731921967117,0.000557132187532261,0.00036989696382079275,0.00024241890496341513,0.00019080611964454873,0.00015524366463068873,0.00014890164020471276
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10072_13924_128_23_vh.jpg,0.032082704827189445,0.0007960597169585526,0.0010920514119789003,0.0007230383052956313,0.0004693455208325759,0.0003816748096141964,0.00031629432633053514,0.0002995685616042465
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10072_13924_128_23_vv.jpg,0.02031951192766428,0.0005153783306013793,0.0007522870844695717,0.0005118555796798319,0.00036661626654677093,0.0002947946515632793,0.00024665880628162997,0.00023438288480974733
D:\2023_SARatrX_1\Pre-Train Data\500K\186K_notest\186K_notest\10072_13952_89_15_vh.jpg,0.047000186145305635,0.0010368235409259797,0.0015071933041326702,0.0010162803577259184,0.000677052978426218,0.0005539807869354263,0.00047798184386920183,0.0004525980621110648
